Comment,Designator,Footprint,LCSC
DMG2301L-7,"Q1,Q3",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C102619
MCP73831-2ACI/MC,U2,TDFN-8_L3.0-W2.0-P0.50-BL-EP1.6,C150772
1N5819WS,D1,SOD-323_L1.8-W1.3-LS2.5-RD,C191023
KT-0603R,CHARGE_LED1,LED0603-RD,C2286
TYPE-C 16PIN 2MD(073),USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186
ST-0322D00-071-1A2H,CN2,AUDIO-TH_ST-0322D00-071-1A2H,C2829970
ESP32-S3-WROOM-1(N8R2),U1,WIRELM-SMD_ESP32-S3-WROOM-1,C2913204
GT-TC054C-H035-L1W,"SW5,SW6,SW7",KEY-SMD_4P-L7.8-W2.8-P4.20-EH,C3020033
Battery connector,"H1,H2",CONN-SMD_2P-P2.00_XUNPU_WAFER-PH2.0-2PWB,C3029440
TS-1187A-B-A-B,"SW10,SW9",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,C318884
E6C1209RGBC3UDA,LED1,LED-ARRAY-SMD_4P-L3.2-W2.7-TL-1,C375572
TF PUSH,Card1,TF-SMD_TF-PUSH,C393941
USBLC6-2SC6,D3,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C7519
ME6217C33P5G,U3,SOT-89-5_L4.5-W2.5-P1.50-LS4.5-BR,C81592
MAX98357AETE+T,U6,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,C910544
K2-1109SP-C4SA,"SW1,SW2,SW3,SW4",KEY-SMD_4P-L4.5-W4.5-P3.00-LS7.0,C92570
3k,R14,R_0805_2012Metric,
10k,R27,R_0805_2012Metric,
10k,R3,R_0805_2012Metric,
10k,R31,R_0805_2012Metric,
10uF,C18,C_0805_2012Metric,
mhole,H5,MountingHole_3.2mm_M3_ISO7380_Pad,
10uF,C19,C_0805_2012Metric,
10,R1,R_0805_2012Metric,
0.1uF,C8,C_0805_2012Metric,
mhole,H6,MountingHole_3.2mm_M3_ISO7380_Pad,
1M,R5,R_0805_2012Metric,
1uF,C11,C_0805_2012Metric,
10uF,C3,C_0805_2012Metric,
10uF,C2,C_0805_2012Metric,
10k,R28,R_0805_2012Metric,
10k,R40,R_0805_2012Metric,
10,R17,R_0805_2012Metric,
5.1k,R15,R_0805_2012Metric,
1M,R4,R_0805_2012Metric,
100nF,C20,C_0805_2012Metric,
10uF,C17,C_0805_2012Metric,
4.7uF,C10,C_0805_2012Metric,
4.7uF,C9,C_0805_2012Metric,
10uf,C12,C_0805_2012Metric,
10k,R29,R_0805_2012Metric,
mhole,H3,MountingHole_3.2mm_M3_ISO7380_Pad,
10k,R12,R_0805_2012Metric,
10uF,C7,C_0805_2012Metric,
Conn_01x50,J8,FPC-SMD_AFC01-S50FCC-00,
10,R2,R_0805_2012Metric,
2K2,R16,R_0805_2012Metric,
10k,R30,R_0805_2012Metric,
mhole,H4,MountingHole_3.2mm_M3_ISO7380_Pad,
0,R18,R_0805_2012Metric,
30,R8,R_0805_2012Metric,
100k,R33,R_0805_2012Metric,
330,R6,R_0805_2012Metric,
10k,R26,R_0805_2012Metric,
5.1k,R13,R_0805_2012Metric,
10uF,C16,C_0805_2012Metric,
1uf,C14,C_0805_2012Metric,
0,R19,R_0805_2012Metric,
10,R11,R_0805_2012Metric,
10uF,C1,C_0805_2012Metric,
30,R9,R_0805_2012Metric,
330,R32,R_0805_2012Metric,
120,R10,R_0805_2012Metric,
100nF,C5,C_0805_2012Metric,
10uf,C4,C_0805_2012Metric,
10uF,C15,C_0805_2012Metric,
0,R7,R_0805_2012Metric,
