Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,101.346555,-89.501796,0.0,top
C2,10uF,C_0805_2012Metric,101.346555,-94.0,0.0,top
C3,10uF,C_0805_2012Metric,112.0,-101.0,-90.0,top
C4,10uf,C_0805_2012Metric,114.0,-101.0,-90.0,top
C5,100nF,C_0805_2012Metric,113.991029,-89.602424,90.0,top
C7,10uF,C_0805_2012Metric,112.225,-121.0,0.0,top
C8,0.1uF,C_0805_2012Metric,112.221645,-119.0,0.0,top
C9,4.7uF,C_0805_2012Metric,136.0,-97.0,0.0,top
C10,4.7uF,C_0805_2012Metric,136.0,-95.0,0.0,top
C11,1uF,C_0805_2012Metric,101.346555,-91.750898,0.0,top
C12,10uf,C_0805_2012Metric,125.0,-102.0,90.0,top
C14,1uf,C_0805_2012Metric,192.0,-125.0,0.0,top
C15,10uF,C_0805_2012Metric,183.0,-62.0,180.0,top
C16,10uF,C_0805_2012Metric,145.197921,-90.196008,90.0,top
C17,10uF,C_0805_2012Metric,143.197921,-90.196008,90.0,top
C18,10uF,C_0805_2012Metric,146.0,-66.0,180.0,top
C19,10uF,C_0805_2012Metric,147.197921,-90.196008,90.0,top
C20,100nF,C_0805_2012Metric,149.197921,-90.196008,-90.0,top
Card1,TF PUSH,TF-SMD_TF-PUSH,189.0,-73.3,0.0,top
CHARGE_LED1,KT-0603R,LED0603-RD,94.0,-99.2,-90.0,top
CN2,ST-0322D00-071-1A2H,AUDIO-TH_ST-0322D00-071-1A2H,98.019544,-118.304078,0.0,top
D1,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,119.0,-96.0,180.0,top
D2,USBLC6-2SC6_C2687116,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,107.15,-110.05,-90.0,top
H1,Battery connector,CONN-SMD_2P-P2.00_XUNPU_WAFER-PH2.0-2PWB,166.65539,-107.0,-90.0,top
H2,Speaker connector,CONN-SMD_2P-P2.00_XUNPU_WAFER-PH2.0-2PWB,129.15,-107.35,90.0,top
J8,Conn_01x50,FPC-SMD_AFC01-S50FCC-00,153.61,-80.95,90.0,top
LED1,E6C1209RGBC3UDA,LED-ARRAY-SMD_4P-L3.2-W2.7-TL-1,187.0,-89.0,-90.0,top
Q1,DMG2301L-7,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,122.0,-98.95,0.0,top
Q3,DMG2301L-7,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,140.0,-80.0,0.0,top
R1,10,R_0805_2012Metric,144.0,-69.0,180.0,top
R2,10,R_0805_2012Metric,144.0,-71.0,180.0,top
R3,10k,R_0805_2012Metric,116.0,-93.825,90.0,top
R4,1M,R_0805_2012Metric,119.175,-94.0,0.0,top
R5,1M,R_0805_2012Metric,119.175,-92.0,180.0,top
R6,330,R_0805_2012Metric,108.0,-120.0,90.0,top
R7,0,R_0805_2012Metric,121.0,-102.0,180.0,top
R8,30,R_0805_2012Metric,182.9125,-94.0,180.0,top
R9,30,R_0805_2012Metric,182.9125,-91.0,180.0,top
R10,120,R_0805_2012Metric,182.9125,-96.95,180.0,top
R11,10,R_0805_2012Metric,144.0,-73.0,180.0,top
R12,10k,R_0805_2012Metric,192.0,-123.0,0.0,top
R13,5.1k,R_0805_2012Metric,108.0,-113.0,0.0,top
R14,3k,R_0805_2012Metric,131.0,-98.0,0.0,top
R15,5.1k,R_0805_2012Metric,108.0,-107.0,0.0,top
R16,2K2,R_0805_2012Metric,128.0,-96.0,90.0,top
R17,10,R_0805_2012Metric,144.0,-75.0,180.0,top
R18,0,R_0805_2012Metric,121.0875,-125.0,0.0,top
R19,0,R_0805_2012Metric,175.0,-107.0875,-90.0,top
R26,10k,R_0805_2012Metric,182.0,-64.94808,90.0,top
R27,10k,R_0805_2012Metric,184.2,-64.94808,90.0,top
R28,10k,R_0805_2012Metric,186.4,-64.942441,90.0,top
R29,10k,R_0805_2012Metric,188.6,-64.945674,90.0,top
R30,10k,R_0805_2012Metric,190.8,-64.946894,90.0,top
R31,10k,R_0805_2012Metric,193.0,-64.961529,90.0,top
R32,330,R_0805_2012Metric,144.0,-84.0,180.0,top
